,service_request_id,requested_datetime,service_name,agency_responsible,council_district,status_description,lat,long
113,5077193,2018-07-02 08:57:00,HIGH GRASS WEEDS,IPL,9.0,CLOSED,38.2611729552,-85.70445106529999
114,5080830,2018-07-02 08:57:00,GARBAGE MISSED,SWMS,1.0,OPEN,38.2406503965,-85.7960857858
115,5080836,2018-07-02 09:00:00,GARBAGE MISSED,SWMS,1.0,OPEN,38.2385827099,-85.8086611186
116,5080838,2018-07-02 09:01:00,WEATHER RELATED,PUBLIC WORKS,1.0,CLOSED,38.1932896605,-85.8754805014
117,5080839,2018-07-02 09:01:00,DAMAGE GARB CART,SWMS,15.0,CLOSED,38.1931249695,-85.7751346116
118,5080840,2018-07-02 09:01:00,SIGNAGE REPAIR,PUBLIC WORKS,9.0,OPEN,38.2543393949,-85.6755602705
119,5077560,2018-07-02 09:04:00,GARBAGE MISSED,SWMS,6.0,CLOSED,38.233194374600004,-85.759318558
120,5080841,2018-07-02 09:06:00,RECYCLE BINS,SWMS,10.0,CLOSED,38.1956172459,-85.6418629882
121,5088905,2018-07-02 09:07:00,RECYCLE BINS,SWMS,21.0,CLOSED,38.1862139071,-85.7800455176
122,5080843,2018-07-02 09:08:00,STREET POTHOLE,LPM,20.0,CLOSED,38.1749082107,-85.5393126881
123,5080844,2018-07-02 09:08:00,HIGH GRASS WEEDS,IPL,23.0,CLOSED,38.1045604809,-85.64614125840001
124,5080847,2018-07-02 09:11:00,YARD WASTE VIOL,SWMS,15.0,CLOSED,38.2021198542,-85.77678166310001
125,5080848,2018-07-02 09:12:00,YARD WASTE MISS,SWMS,10.0,CLOSED,38.2214364669,-85.73862164270001
126,5080849,2018-07-02 09:12:00,RECYCLE BINS,SWMS,26.0,CLOSED,38.2133724006,-85.6551483941
127,5080851,2018-07-02 09:13:32,NCODES & REGS,METRO AGENCIES,15.0,CLOSED,38.1920095759,-85.7663105204
128,5080856,2018-07-02 09:19:38,NGARBAGE QUEST,SWMS,12.0,CLOSED,38.145510203,-85.8769757573
129,5080858,2018-07-02 09:21:00,INTERIOR VIOL,IPL,22.0,CLOSED,38.1657327852,-85.6056147924
130,5080860,2018-07-02 09:22:00,STOLEN GARB CART,SWMS,15.0,OPEN,38.2151698945,-85.749514106
131,5080861,2018-07-02 09:22:00,METRO OWNED PROP,METRO PARKS,2.0,CLOSED,38.1830563125,-85.6644056552
132,5080864,2018-07-02 09:23:00,ABANDON VEHICLE,METRO POLICE DEPARTMENT,8.0,OPEN,38.2140820067,-85.6877642718
133,5080866,2018-07-02 09:24:00,INTERIOR VIOL,IPL,9.0,CLOSED,38.2615821938,-85.7026828299
134,5080870,2018-07-02 09:27:00,RECYCL VIOLATION,SWMS,5.0,CLOSED,38.2633717888,-85.8260526783
135,5080867,2018-07-02 09:27:47,TRASH PVT PROP,IPL,5.0,CLOSED,38.2633717888,-85.8260526783
136,5080868,2018-07-02 09:28:00,STREET POTHOLE,LPM,5.0,CLOSED,38.2762097955,-85.8013304042
137,5080869,2018-07-02 09:29:00,GARBAGE MISSED,SWMS,6.0,OPEN,38.236730872399995,-85.79611726899999
138,5080874,2018-07-02 09:32:00,SIDEWALK REPAIR,PUBLIC WORKS,8.0,CLOSED,38.224545913,-85.6872924726
139,5080876,2018-07-02 09:34:00,SIDEWALK REPAIR,PUBLIC WORKS,8.0,CLOSED,38.2256455925,-85.6851905329
140,5080878,2018-07-02 09:34:00,MOSQUITOS,HEALTH DEPARTMENT,3.0,CLOSED,38.164885020199996,-85.8248501942
